return_id,order_id,customer_id,order_timestamp,delivery_timestamp,request_timestamp,order_amount,item_count,product_category,discount_amount,payment_method,delivery_region,fulfillment_method,return_reason,item_condition_declared,refund_amount_requested,return_method,customer_account_age_days,customer_order_count_lifetime,customer_return_count_lifetime,historical_return_rate,historical_refund_amount,customer_dispute_count,orders_last_7d,orders_last_30d,orders_last_90d,returns_last_7d,returns_last_30d,returns_last_90d,customer_avg_order_value,return_abuse,dataset_type
RET_003375,ORD_003375,CUST_00600,2025-01-01T08:23:00,2025-01-02T08:23:00,2025-01-03T08:23:00,56.12,1,BEAUTY,10.0,CREDIT_CARD,US_SOUTH,STANDARD_GROUND,DEFECTIVE,UNOPENED,18.52,MAIL_IN,1187,8,0,0.0,0.0,0,1,1,5,0,0,0,48.6,0,SYNTHETIC
RET_003167,ORD_003167,CUST_00464,2025-01-01T21:19:00,2025-01-03T21:19:00,2025-01-03T21:19:00,819.76,1,ELECTRONICS,0.0,STORE_CREDIT,US_WEST,SAME_DAY,DEFECTIVE,UNOPENED,409.88,MAIL_IN,37,1,0,0.0,0.0,4,4,3,4,4,2,2,409.88,1,SYNTHETIC
RET_002794,ORD_002794,CUST_00082,2025-01-01T01:26:00,2025-01-02T01:26:00,2025-01-04T01:26:00,438.57,1,ELECTRONICS,0.0,CREDIT_CARD,US_EAST,SAME_DAY,WRONG_SIZE,OPENED_UNUSED,438.57,MAIL_IN,327,14,0,0.0,0.0,0,0,2,4,0,0,0,458.24,0,SYNTHETIC
RET_004146,ORD_004146,CUST_00089,2025-01-01T05:35:00,2025-01-03T05:35:00,2025-01-04T05:35:00,96.78,1,APPAREL,15.0,DEBIT_CARD,US_SOUTH,EXPRESS_AIR,WRONG_SIZE,UNOPENED,31.94,MAIL_IN,311,16,0,0.0,0.0,0,0,1,3,0,0,0,78.68,0,SYNTHETIC
RET_004755,ORD_004755,CUST_00371,2025-01-01T08:37:00,2025-01-03T08:37:00,2025-01-04T08:37:00,56.03,2,APPAREL,5.0,CREDIT_CARD,US_EAST,SAME_DAY,DEFECTIVE,UNOPENED,56.03,MAIL_IN,978,10,1,0.1,53.67,0,0,2,5,0,0,0,59.63,0,SYNTHETIC
RET_003794,ORD_003794,CUST_00166,2025-01-01T15:21:00,2025-01-03T15:21:00,2025-01-04T15:21:00,89.23,1,APPAREL,15.0,CREDIT_CARD,US_SOUTH,STANDARD_GROUND,DEFECTIVE,UNOPENED,29.45,LOCKER_DROP,96,12,0,0.0,0.0,0,0,2,3,0,0,0,73.59,0,SYNTHETIC
RET_002262,ORD_002262,CUST_00350,2025-01-01T20:52:00,2025-01-03T20:52:00,2025-01-04T20:52:00,41.9,2,APPAREL,15.0,CREDIT_CARD,US_SOUTH,SAME_DAY,WRONG_SIZE,OPENED_UNUSED,13.83,IN_STORE_DROP,978,14,1,0.0714,42.2,0,0,1,6,0,0,0,46.89,0,SYNTHETIC
RET_002813,ORD_002813,CUST_01646,2025-01-01T00:10:00,2025-01-03T00:10:00,2025-01-05T00:10:00,546.71,1,LUXURY_GOODS,15.0,DEBIT_CARD,US_SOUTH,STANDARD_GROUND,WRONG_SIZE,WORN_OR_USED,546.71,MAIL_IN,1033,12,2,0.1667,1143.94,1,1,1,6,0,0,0,635.52,0,SYNTHETIC
RET_002570,ORD_002570,CUST_00803,2025-01-01T00:30:00,2025-01-04T00:30:00,2025-01-05T00:30:00,79.32,1,BEAUTY,5.0,CREDIT_CARD,US_SOUTH,SAME_DAY,CHANGED_MIND,OPENED_UNUSED,39.66,IN_STORE_DROP,866,12,1,0.0833,78.25,0,1,0,4,0,0,0,86.94,0,SYNTHETIC
RET_004785,ORD_004785,CUST_00372,2025-01-01T02:03:00,2025-01-04T02:03:00,2025-01-05T02:03:00,989.57,2,LUXURY_GOODS,5.0,CREDIT_CARD,US_CENTRAL,STANDARD_GROUND,CHANGED_MIND,OPENED_UNUSED,989.57,MAIL_IN,623,12,2,0.1667,1566.09,0,1,2,2,0,0,0,870.05,0,SYNTHETIC
